OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
OI1,O1,P39,1,972.00,972.00
OI2,O1,P37,1,1643.00,1643.00
OI3,O1,P32,1,1148.00,1148.00
OI4,O2,P6,1,6717.00,6717.00
OI5,O2,P8,1,5430.00,5430.00
OI6,O2,P10,1,5932.00,5932.00
OI7,O3,P10,1,5932.00,5932.00
OI8,O4,P13,3,5893.00,17679.00
OI9,O4,P12,3,17864.00,53592.00
OI10,O4,P7,2,2697.00,5394.00
OI11,O4,P14,1,6484.00,6484.00
OI12,O5,P30,1,11873.00,11873.00
OI13,O5,P26,1,1344.00,1344.00
OI14,O6,P21,1,1059.00,1059.00
OI15,O6,P23,1,1399.00,1399.00
OI16,O7,P24,1,807.00,807.00
OI17,O8,P36,1,3952.00,3952.00
OI18,O8,P22,1,535.00,535.00
OI19,O9,P39,1,972.00,972.00
OI20,O10,P13,1,5893.00,5893.00
OI21,O11,P31,1,623.00,623.00
OI22,O11,P35,1,207.00,207.00
OI23,O12,P12,1,17864.00,17864.00
OI24,O13,P6,1,6717.00,6717.00
OI25,O14,P22,2,535.00,1070.00
OI26,O14,P4,4,35336.00,141344.00
OI27,O14,P36,1,3952.00,3952.00
OI28,O15,P36,1,3952.00,3952.00
OI29,O15,P1,2,78154.00,156308.00
OI30,O15,P22,4,535.00,2140.00
OI31,O16,P6,1,6717.00,6717.00
OI32,O16,P8,1,5430.00,5430.00
OI33,O17,P31,1,623.00,623.00
OI34,O17,P27,1,2733.00,2733.00
OI35,O17,P34,1,1079.00,1079.00
OI36,O18,P36,1,3952.00,3952.00
OI37,O19,P30,3,11873.00,35619.00
OI38,O19,P28,1,2862.00,2862.00
OI39,O20,P26,1,1344.00,1344.00
OI40,O20,P28,1,2862.00,2862.00
OI41,O20,P29,1,6709.00,6709.00
OI42,O21,P34,1,1079.00,1079.00
OI43,O21,P33,1,438.00,438.00
OI44,O22,P6,1,6717.00,6717.00
OI45,O22,P10,1,5932.00,5932.00
OI46,O22,P8,2,5430.00,10860.00
OI47,O23,P1,1,78154.00,78154.00
OI48,O23,P22,1,535.00,535.00
OI49,O23,P3,1,41366.00,41366.00
OI50,O23,P4,1,35336.00,35336.00
OI51,O24,P6,1,6717.00,6717.00
OI52,O25,P24,2,807.00,1614.00
OI53,O25,P23,1,1399.00,1399.00
OI54,O26,P24,1,807.00,807.00
OI55,O26,P21,1,1059.00,1059.00
OI56,O26,P25,2,926.00,1852.00
OI57,O26,P11,1,11764.00,11764.00
OI58,O26,P23,3,1399.00,4197.00
OI59,O27,P22,1,535.00,535.00
OI60,O27,P36,1,3952.00,3952.00
OI61,O27,P4,1,35336.00,35336.00
OI62,O28,P7,2,2697.00,5394.00
OI63,O29,P30,2,11873.00,23746.00
OI64,O29,P29,2,6709.00,13418.00
OI65,O30,P14,2,6484.00,12968.00
OI66,O30,P7,1,2697.00,2697.00
OI67,O30,P12,1,17864.00,17864.00
OI68,O30,P13,1,5893.00,5893.00
OI69,O31,P37,1,1643.00,1643.00
OI70,O32,P8,1,5430.00,5430.00
OI71,O33,P13,1,5893.00,5893.00
OI72,O34,P26,1,1344.00,1344.00
OI73,O34,P28,1,2862.00,2862.00
OI74,O34,P30,1,11873.00,11873.00
OI75,O34,P29,2,6709.00,13418.00
OI76,O35,P32,1,1148.00,1148.00
OI77,O36,P4,1,35336.00,35336.00
OI78,O36,P22,1,535.00,535.00
OI79,O36,P1,1,78154.00,78154.00
OI80,O37,P12,1,17864.00,17864.00
OI81,O37,P14,1,6484.00,6484.00
OI82,O38,P4,2,35336.00,70672.00
OI83,O38,P3,1,41366.00,41366.00
OI84,O38,P36,2,3952.00,7904.00
OI85,O39,P34,1,1079.00,1079.00
OI86,O40,P34,1,1079.00,1079.00
OI87,O40,P33,1,438.00,438.00
OI88,O40,P27,1,2733.00,2733.00
OI89,O41,P31,1,623.00,623.00
OI90,O41,P35,3,207.00,621.00
OI91,O41,P33,2,438.00,876.00
OI92,O42,P7,1,2697.00,2697.00
OI93,O43,P16,2,92500.00,185000.00
OI94,O43,P5,2,16182.00,32364.00
OI95,O44,P19,1,10900.00,10900.00
OI96,O45,P4,1,35336.00,35336.00
OI97,O45,P1,1,78154.00,78154.00
OI98,O46,P35,1,207.00,207.00
OI99,O46,P33,1,438.00,438.00
OI100,O46,P34,2,1079.00,2158.00
OI101,O47,P38,1,5183.00,5183.00
OI102,O48,P10,3,5932.00,17796.00
OI103,O49,P1,2,78154.00,156308.00
OI104,O50,P38,1,5183.00,5183.00
OI105,O51,P7,1,2697.00,2697.00
OI106,O51,P12,1,17864.00,17864.00
OI107,O51,P14,2,6484.00,12968.00
OI108,O51,P13,1,5893.00,5893.00
OI109,O52,P26,1,1344.00,1344.00
OI110,O52,P28,1,2862.00,2862.00
OI111,O52,P29,1,6709.00,6709.00
OI112,O52,P30,2,11873.00,23746.00
OI113,O53,P23,3,1399.00,4197.00
OI114,O53,P24,3,807.00,2421.00
OI115,O53,P21,1,1059.00,1059.00
OI116,O53,P11,2,11764.00,23528.00
OI117,O54,P16,5,92500.00,462500.00
OI118,O54,P20,1,34595.00,34595.00
OI119,O54,P19,1,10900.00,10900.00
OI120,O55,P22,1,535.00,535.00
OI121,O56,P14,1,6484.00,6484.00
OI122,O56,P7,1,2697.00,2697.00
OI123,O56,P12,1,17864.00,17864.00
OI124,O57,P5,1,16182.00,16182.00
OI125,O57,P16,1,92500.00,92500.00
OI126,O57,P18,1,9893.00,9893.00
OI127,O58,P26,4,1344.00,5376.00
OI128,O58,P30,1,11873.00,11873.00
OI129,O58,P28,2,2862.00,5724.00
OI130,O58,P29,1,6709.00,6709.00
OI131,O59,P23,1,1399.00,1399.00
OI132,O59,P11,2,11764.00,23528.00
OI133,O60,P23,2,1399.00,2798.00
OI134,O61,P14,1,6484.00,6484.00
OI135,O61,P13,2,5893.00,11786.00
OI136,O62,P10,1,5932.00,5932.00
OI137,O63,P33,1,438.00,438.00
OI138,O63,P31,1,623.00,623.00
OI139,O63,P35,2,207.00,414.00
OI140,O63,P27,1,2733.00,2733.00
OI141,O64,P34,3,1079.00,3237.00
OI142,O64,P31,1,623.00,623.00
OI143,O64,P35,1,207.00,207.00
OI144,O65,P12,1,17864.00,17864.00
OI145,O65,P13,1,5893.00,5893.00
OI146,O65,P7,1,2697.00,2697.00
OI147,O65,P14,1,6484.00,6484.00
OI148,O66,P23,1,1399.00,1399.00
OI149,O67,P6,1,6717.00,6717.00
OI150,O68,P35,1,207.00,207.00
OI151,O68,P34,1,1079.00,1079.00
OI152,O68,P27,1,2733.00,2733.00
OI153,O68,P31,1,623.00,623.00
OI154,O69,P12,1,17864.00,17864.00
OI155,O70,P8,1,5430.00,5430.00
OI156,O71,P36,2,3952.00,7904.00
OI157,O72,P35,1,207.00,207.00
OI158,O72,P27,1,2733.00,2733.00
OI159,O73,P21,1,1059.00,1059.00
OI160,O73,P11,1,11764.00,11764.00
OI161,O74,P31,1,623.00,623.00
OI162,O74,P35,1,207.00,207.00
OI163,O74,P34,2,1079.00,2158.00
OI164,O75,P8,1,5430.00,5430.00
OI165,O75,P10,1,5932.00,5932.00
OI166,O76,P39,1,972.00,972.00
OI167,O76,P40,2,725.00,1450.00
OI168,O77,P13,1,5893.00,5893.00
OI169,O77,P14,1,6484.00,6484.00
OI170,O77,P7,1,2697.00,2697.00
OI171,O78,P29,2,6709.00,13418.00
OI172,O78,P26,2,1344.00,2688.00
OI173,O79,P13,2,5893.00,11786.00
OI174,O79,P14,2,6484.00,12968.00
OI175,O80,P21,1,1059.00,1059.00
OI176,O80,P25,1,926.00,926.00
OI177,O81,P27,2,2733.00,5466.00
OI178,O82,P13,2,5893.00,11786.00
OI179,O82,P12,2,17864.00,35728.00
OI180,O83,P6,1,6717.00,6717.00
OI181,O83,P8,1,5430.00,5430.00
OI182,O84,P22,1,535.00,535.00
OI183,O84,P3,1,41366.00,41366.00
OI184,O84,P1,1,78154.00,78154.00
OI185,O84,P4,1,35336.00,35336.00
OI186,O84,P36,1,3952.00,3952.00
OI187,O85,P34,1,1079.00,1079.00
OI188,O86,P30,1,11873.00,11873.00
OI189,O86,P26,1,1344.00,1344.00
OI190,O86,P29,1,6709.00,6709.00
OI191,O87,P38,2,5183.00,10366.00
OI192,O87,P37,1,1643.00,1643.00
OI193,O88,P1,1,78154.00,78154.00
OI194,O88,P4,2,35336.00,70672.00
OI195,O88,P3,1,41366.00,41366.00
OI196,O88,P22,1,535.00,535.00
OI197,O89,P1,1,78154.00,78154.00
OI198,O89,P3,2,41366.00,82732.00
OI199,O90,P24,1,807.00,807.00
OI200,O90,P21,3,1059.00,3177.00
OI201,O91,P37,1,1643.00,1643.00
OI202,O92,P26,5,1344.00,6720.00
OI203,O93,P18,1,9893.00,9893.00
OI204,O94,P34,1,1079.00,1079.00
OI205,O94,P27,1,2733.00,2733.00
OI206,O95,P13,1,5893.00,5893.00
OI207,O95,P7,1,2697.00,2697.00
OI208,O96,P36,2,3952.00,7904.00
OI209,O97,P10,1,5932.00,5932.00
OI210,O97,P6,2,6717.00,13434.00
OI211,O98,P10,2,5932.00,11864.00
OI212,O98,P8,2,5430.00,10860.00
OI213,O99,P32,1,1148.00,1148.00
OI214,O99,P40,1,725.00,725.00
OI215,O100,P34,1,1079.00,1079.00
OI216,O100,P27,1,2733.00,2733.00
OI217,O101,P31,1,623.00,623.00
OI218,O101,P34,1,1079.00,1079.00
OI219,O102,P6,1,6717.00,6717.00
OI220,O102,P10,1,5932.00,5932.00
OI221,O103,P26,1,1344.00,1344.00
OI222,O104,P36,3,3952.00,11856.00
OI223,O105,P24,3,807.00,2421.00
OI224,O105,P11,2,11764.00,23528.00
OI225,O106,P18,1,9893.00,9893.00
OI226,O106,P20,1,34595.00,34595.00
OI227,O107,P24,1,807.00,807.00
OI228,O107,P11,1,11764.00,11764.00
OI229,O108,P4,1,35336.00,35336.00
OI230,O109,P30,1,11873.00,11873.00
OI231,O109,P26,1,1344.00,1344.00
