OrderID,CustomerID,SellerID,Amount,OrderDate,DeliveryDate,PaymentMethod,OrderStatusID
O1,C10,S8,3763.00,2025-01-18,,Net Banking,STAT1
O2,C4,S2,18079.00,2025-01-16,,Net Banking,STAT2
O3,C48,S2,5932.00,2025-01-11,2025-01-17,Cash on Delivery,STAT3
O4,C58,S3,83149.00,2025-01-18,2025-01-28,Net Banking,STAT3
O5,C20,S6,13217.00,2025-01-15,2025-01-20,Cash on Delivery,STAT3
O6,C41,S5,2458.00,2025-01-08,2025-01-09,Net Banking,STAT3
O7,C22,S5,807.00,2025-01-23,2025-01-24,PayPal,STAT3
O8,C35,S1,4487.00,2025-02-17,2025-02-23,Credit Card,STAT3
O9,C33,S8,972.00,2025-02-17,2025-02-25,Net Banking,STAT3
O10,C24,S3,5893.00,2025-02-21,2025-02-27,Credit Card,STAT3
O11,C26,S7,830.00,2025-02-05,2025-02-15,UPI,STAT4
O12,C3,S3,17864.00,2025-02-23,2025-02-27,Credit Card,STAT3
O13,C22,S2,6717.00,2025-02-01,2025-02-04,PayPal,STAT3
O14,C23,S1,146366.00,2025-02-12,2025-02-13,Debit Card,STAT3
O15,C17,S1,162400.00,2025-03-17,2025-03-20,Cash on Delivery,STAT3
O16,C44,S2,12147.00,2025-03-25,2025-03-28,Debit Card,STAT3
O17,C9,S7,4435.00,2025-03-22,2025-04-09,PayPal,STAT3
O18,C38,S1,3952.00,2025-03-15,,Net Banking,STAT5
O19,C44,S6,38481.00,2025-03-31,,Debit Card,STAT2
O20,C13,S6,10915.00,2025-03-05,2025-03-12,Credit Card,STAT3
O21,C56,S7,1517.00,2025-03-07,,Net Banking,STAT2
O22,C23,S2,23509.00,2025-03-26,2025-03-31,Credit Card,STAT3
O23,C50,S1,155391.00,2025-04-22,2025-04-26,Debit Card,STAT3
O24,C54,S2,6717.00,2025-04-10,2025-04-13,Net Banking,STAT3
O25,C47,S5,3013.00,2025-04-03,2025-04-05,UPI,STAT3
O26,C50,S5,19679.00,2025-04-21,2025-04-22,Net Banking,STAT3
O27,C1,S1,39823.00,2025-04-08,2025-04-12,PayPal,STAT3
O28,C32,S3,5394.00,2025-04-23,2025-04-28,UPI,STAT3
O29,C22,S6,37164.00,2025-04-04,2025-04-07,UPI,STAT3
O30,C6,S3,39422.00,2025-04-25,2025-05-02,Net Banking,STAT3
O31,C53,S8,1643.00,2025-05-14,,Net Banking,STAT1
O32,C42,S2,5430.00,2025-05-02,2025-05-10,Cash on Delivery,STAT3
O33,C45,S3,5893.00,2025-05-23,2025-05-30,Debit Card,STAT3
O34,C7,S6,29497.00,2025-05-05,2025-05-12,PayPal,STAT3
O35,C39,S8,1148.00,2025-05-04,,PayPal,STAT2
O36,C24,S1,114025.00,2025-05-01,2025-05-02,Credit Card,STAT3
O37,C8,S3,24348.00,2025-05-17,2025-05-21,Debit Card,STAT3
O38,C25,S1,119942.00,2025-05-08,2025-05-12,Net Banking,STAT3
O39,C35,S7,1079.00,2025-05-02,2025-05-20,Net Banking,STAT3
O40,C3,S7,4250.00,2025-06-19,2025-06-29,Net Banking,STAT3
O41,C4,S7,2120.00,2025-06-12,2025-07-02,PayPal,STAT3
O42,C26,S3,2697.00,2025-06-28,2025-07-04,Debit Card,STAT3
O43,C1,S4,217364.00,2025-06-01,2025-06-24,UPI,STAT3
O44,C39,S4,10900.00,2025-06-04,2025-07-01,UPI,STAT3
O45,C50,S1,113490.00,2025-06-25,2025-06-27,PayPal,STAT3
O46,C3,S7,2803.00,2025-06-16,2025-07-04,Debit Card,STAT3
O47,C35,S8,5183.00,2025-06-18,2025-06-28,Credit Card,STAT3
O48,C22,S2,17796.00,2025-06-21,2025-06-29,Credit Card,STAT3
O49,C39,S1,156308.00,2025-07-23,2025-07-27,PayPal,STAT3
O50,C17,S8,5183.00,2025-07-25,2025-08-01,Credit Card,STAT3
O51,C13,S3,39422.00,2025-07-21,2025-07-29,Debit Card,STAT3
O52,C11,S6,34661.00,2025-07-20,2025-07-29,Credit Card,STAT3
O53,C23,S5,31205.00,2025-07-11,2025-07-12,Credit Card,STAT3
O54,C14,S4,507995.00,2025-07-15,,Net Banking,STAT5
O55,C55,S1,535.00,2025-07-27,2025-07-28,PayPal,STAT3
O56,C58,S3,27045.00,2025-07-23,2025-07-31,Net Banking,STAT3
O57,C1,S4,118575.00,2025-08-31,2025-09-20,Cash on Delivery,STAT3
O58,C33,S6,29682.00,2025-08-04,2025-08-12,Net Banking,STAT3
O59,C59,S5,24927.00,2025-08-24,2025-08-28,Cash on Delivery,STAT3
O60,C23,S5,2798.00,2025-08-27,2025-08-30,Cash on Delivery,STAT3
O61,C2,S3,18270.00,2025-08-15,,Credit Card,STAT2
O62,C17,S2,5932.00,2025-08-06,2025-08-10,UPI,STAT3
O63,C45,S7,4208.00,2025-08-16,2025-09-04,Debit Card,STAT3
O64,C14,S7,4067.00,2025-08-04,2025-08-22,Net Banking,STAT3
O65,C52,S3,32938.00,2025-08-04,,PayPal,STAT2
O66,C54,S5,1399.00,2025-08-22,,Cash on Delivery,STAT1
O67,C50,S2,6717.00,2025-09-25,2025-09-28,Credit Card,STAT3
O68,C34,S7,4642.00,2025-09-22,2025-10-07,Cash on Delivery,STAT3
O69,C54,S3,17864.00,2025-09-19,2025-09-26,UPI,STAT3
O70,C25,S2,5430.00,2025-09-25,2025-09-30,Debit Card,STAT3
O71,C21,S1,7904.00,2025-09-12,2025-09-14,Net Banking,STAT3
O72,C60,S7,2940.00,2025-09-22,2025-10-06,PayPal,STAT3
O73,C31,S5,12823.00,2025-09-22,2025-09-26,Debit Card,STAT3
O74,C52,S7,2988.00,2025-09-06,2025-09-22,Net Banking,STAT3
O75,C27,S2,11362.00,2025-09-14,2025-09-21,PayPal,STAT3
O76,C51,S8,2422.00,2025-09-13,2025-09-17,UPI,STAT4
O77,C19,S3,15074.00,2025-10-22,2025-10-27,Net Banking,STAT3
O78,C10,S6,16106.00,2025-10-08,2025-10-15,PayPal,STAT3
O79,C18,S3,24754.00,2025-10-23,2025-10-30,Net Banking,STAT3
