ProductID,Name,Price,SKU,Rating,StockLevel,CategoryID,SellerID
P1,Laptop,78154.00,LAP-1001,3.80,346,CAT1,S1
P2,Headphones,5111.00,HEA-1002,3.81,0,CAT1,S1
P3,Smartphone,41366.00,SMA-1003,3.54,340,CAT1,S1
P4,Tablet,35336.00,TAB-1004,3.98,372,CAT1,S1
P5,Monitor,16182.00,MON-1005,4.45,310,CAT1,S4
P6,Running Shoes,6717.00,RUN-1006,3.71,207,CAT2,S2
P7,Yoga Mat,2697.00,YOG-1007,3.85,350,CAT2,S3
P8,Cricket Bat,5430.00,CRI-1008,4.40,186,CAT2,S2
P9,Football,2767.00,FOO-1009,3.66,40,CAT2,S5
P10,Dumbbell Set,5932.00,DUM-1010,3.64,235,CAT2,S2
P11,Coffee Maker,11764.00,COF-1011,4.53,457,CAT3,S5
P12,Microwave Oven,17864.00,MIC-1012,3.77,164,CAT3,S3
P13,Mixer Grinder,5893.00,MIX-1013,4.48,496,CAT3,S3
P14,Air Fryer,6484.00,AIR-1014,3.79,81,CAT3,S3
P15,Electric Kettle,2625.00,ELE-1015,4.75,396,CAT3,S4
P16,Standing Desk,92500.00,STA-1016,4.87,0,CAT4,S4
P17,Office Chair,9196.00,OFF-1017,4.47,106,CAT4,S4
P18,Bookshelf,9893.00,BOO-1018,4.06,97,CAT4,S4
P19,Coffee Table,10900.00,COF-1019,4.13,321,CAT4,S4
P20,Sofa,34595.00,SOF-1020,3.69,152,CAT4,S4
P21,Data Engineering Handbook,1059.00,DAT-1021,3.69,175,CAT5,S5
P22,Cookbook,535.00,COO-1022,3.49,346,CAT5,S1
P23,Novel Set,1399.00,NOV-1023,4.32,113,CAT5,S5
P24,Atlas,807.00,ATL-1024,4.49,7,CAT5,S5
P25,Dictionary,926.00,DIC-1025,4.21,370,CAT5,S5
P26,Cotton Shirt,1344.00,COT-1026,3.91,99,CAT6,S6
P27,Denim Jeans,2733.00,DEN-1027,3.91,385,CAT6,S7
P28,Kurta Set,2862.00,KUR-1028,3.63,431,CAT6,S6
P29,Winter Jacket,6709.00,WIN-1029,4.77,34,CAT6,S6
P30,Saree,11873.00,SAR-1030,3.90,409,CAT6,S6
P31,Face Wash,623.00,FAC-1031,4.41,193,CAT7,S7
P32,Moisturiser,1148.00,MOI-1032,4.44,455,CAT7,S8
P33,Shampoo,438.00,SHA-1033,4.50,138,CAT7,S7
P34,Sunscreen,1079.00,SUN-1034,3.94,226,CAT7,S7
P35,Lip Balm,207.00,LIP-1035,3.57,491,CAT7,S7
P36,Building Blocks,3952.00,BUI-1036,3.61,54,CAT8,S1
P37,Board Game,1643.00,BOA-1037,3.20,295,CAT8,S8
P38,Remote Car,5183.00,REM-1038,4.68,65,CAT8,S8
P39,Soft Toy,972.00,SOF-1039,4.06,392,CAT8,S8
P40,Puzzle Set,725.00,PUZ-1040,4.05,345,CAT8,S8
