BatchID,ProductID,ShipmentID,Units,ValueUSD,ManufacturedDate,ExpiryDate
AUR-2301,PRD-FRZ-01,SHP-0001,3052,65618.00,2026-06-18,2027-04-17
AUR-2302,PRD-FRZ-01,SHP-0001,1378,29627.00,2026-06-21,2027-10-10
AUR-2303,PRD-FRZ-01,SHP-0001,4519,97158.50,2026-06-02,2027-05-02
AUR-2207,PRD-INS-01,SHP-0002,1549,22847.75,2026-06-07,2027-09-18
AUR-2305,PRD-INS-02,SHP-0003,3770,47125.00,2026-06-27,2027-12-16
AUR-2306,PRD-VAX-02,SHP-0003,5593,34676.60,2026-06-09,2027-07-15
AUR-2211,PRD-VAX-01,SHP-0004,3841,32264.40,2026-06-23,2027-11-06
AUR-2308,PRD-VAX-01,SHP-0004,1902,15976.80,2026-06-07,2027-08-04
AUR-2309,PRD-VAX-04,SHP-0005,3347,36817.00,2026-06-19,2027-09-01
AUR-2310,PRD-VAX-02,SHP-0005,1426,8841.20,2026-07-03,2027-05-23
AUR-2311,PRD-VAX-01,SHP-0006,5322,44704.80,2026-06-07,2027-06-14
AUR-2312,PRD-INS-01,SHP-0006,4860,71685.00,2026-06-01,2027-09-12
AUR-2313,PRD-INS-02,SHP-0006,4344,54300.00,2026-06-25,2027-04-30
AUR-2314,PRD-FRZ-01,SHP-0007,1302,27993.00,2026-06-14,2027-04-18
AUR-2315,PRD-VAX-03,SHP-0008,3553,19541.50,2026-06-29,2027-12-07
AUR-2316,PRD-BIO-01,SHP-0008,2700,248400.00,2026-06-23,2027-11-22
AUR-2317,PRD-FRZ-01,SHP-0009,1590,34185.00,2026-05-30,2027-09-22
AUR-2318,PRD-FRZ-01,SHP-0009,2094,45021.00,2026-06-25,2027-07-30
AUR-2319,PRD-VAX-03,SHP-0010,5508,30294.00,2026-06-03,2027-06-25
AUR-2320,PRD-INS-01,SHP-0010,2491,36742.25,2026-06-25,2027-04-21
AUR-2321,PRD-FRZ-01,SHP-0011,1911,41086.50,2026-06-18,2027-06-18
AUR-2322,PRD-FRZ-01,SHP-0011,4660,100190.00,2026-06-04,2027-09-20
AUR-2323,PRD-FRZ-01,SHP-0011,3423,73594.50,2026-07-06,2027-12-21
AUR-2324,PRD-VAX-01,SHP-0012,3870,32508.00,2026-06-09,2027-10-29
AUR-2325,PRD-INS-01,SHP-0013,3503,51669.25,2026-06-03,2027-11-23
AUR-2326,PRD-BIO-01,SHP-0013,2998,275816.00,2026-06-26,2027-05-17
AUR-2327,PRD-BIO-01,SHP-0013,3286,302312.00,2026-06-21,2027-05-05
AUR-2328,PRD-VAX-02,SHP-0014,1986,12313.20,2026-06-26,2027-11-18
AUR-2329,PRD-VAX-04,SHP-0014,1588,17468.00,2026-06-29,2027-10-25
AUR-2330,PRD-INS-01,SHP-0014,5415,79871.25,2026-06-25,2027-09-22
AUR-2331,PRD-VAX-01,SHP-0015,3393,28501.20,2026-06-11,2027-08-01
AUR-2332,PRD-BIO-01,SHP-0015,5420,498640.00,2026-06-29,2027-07-31
AUR-2333,PRD-INS-02,SHP-0016,1960,24500.00,2026-06-16,2027-10-23
AUR-2334,PRD-VAX-04,SHP-0016,5772,63492.00,2026-06-03,2027-04-07
AUR-2335,PRD-VAX-03,SHP-0016,5891,32400.50,2026-06-29,2027-08-02
AUR-2336,PRD-VAX-02,SHP-0017,5830,36146.00,2026-06-16,2027-09-08
AUR-2337,PRD-VAX-04,SHP-0017,3150,34650.00,2026-07-01,2027-09-12
AUR-2338,PRD-VAX-01,SHP-0018,2752,23116.80,2026-06-02,2027-06-27
AUR-2339,PRD-VAX-02,SHP-0019,3860,23932.00,2026-07-04,2027-06-13
AUR-2340,PRD-BIO-01,SHP-0020,1876,172592.00,2026-06-11,2027-05-13
AUR-2341,PRD-FRZ-01,SHP-0021,5340,114810.00,2026-06-28,2027-12-04
AUR-2342,PRD-FRZ-01,SHP-0021,3720,79980.00,2026-06-04,2027-06-03
AUR-2343,PRD-FRZ-01,SHP-0021,3487,74970.50,2026-06-13,2027-05-17
AUR-2344,PRD-BIO-01,SHP-0022,3180,292560.00,2026-06-22,2027-07-30
AUR-2345,PRD-INS-01,SHP-0023,1639,24175.25,2026-07-09,2027-10-04
AUR-2346,PRD-INS-02,SHP-0023,4785,59812.50,2026-06-05,2027-11-16
AUR-2347,PRD-VAX-04,SHP-0024,3449,37939.00,2026-06-09,2027-05-23
AUR-2348,PRD-VAX-01,SHP-0024,1800,15120.00,2026-06-12,2027-09-18
AUR-2349,PRD-INS-02,SHP-0025,1572,19650.00,2026-07-05,2027-10-21
AUR-2350,PRD-BIO-01,SHP-0026,1785,164220.00,2026-06-08,2027-04-27
AUR-2351,PRD-VAX-03,SHP-0026,4704,25872.00,2026-06-22,2027-06-23
AUR-2352,PRD-INS-01,SHP-0027,1462,21564.50,2026-06-19,2027-09-30
AUR-2353,PRD-VAX-02,SHP-0027,5154,31954.80,2026-06-11,2027-09-16
AUR-2354,PRD-BIO-01,SHP-0027,5864,539488.00,2026-06-20,2027-10-24
AUR-2355,PRD-FRZ-01,SHP-0028,4159,89418.50,2026-07-03,2027-12-16
AUR-2356,PRD-BIO-01,SHP-0029,5663,520996.00,2026-07-09,2027-09-25
AUR-2357,PRD-VAX-04,SHP-0030,3697,40667.00,2026-06-11,2027-05-21
AUR-2358,PRD-INS-01,SHP-0030,1762,25989.50,2026-06-09,2027-06-30
AUR-2359,PRD-VAX-02,SHP-0031,2333,14464.60,2026-07-11,2027-08-12
AUR-2360,PRD-VAX-04,SHP-0032,2934,32274.00,2026-06-13,2027-12-05
AUR-2299,PRD-VAX-01,SHP-LIVE,4200,35280.00,2026-06-24,2027-09-07
