LegID,ShipmentID,TruckID,BatchID,ProductID,MinSafeC,MaxSafeC,BudgetMinutes,DepartUtc,ArriveUtc
LEG-0001,SHP-0001,TRK-11,AUR-2301,PRD-FRZ-01,-25,-15,120,2026-07-25T06:45:00Z,2026-07-25T08:45:00Z
LEG-0001,SHP-0001,TRK-11,AUR-2302,PRD-FRZ-01,-25,-15,120,2026-07-25T06:45:00Z,2026-07-25T08:45:00Z
LEG-0001,SHP-0001,TRK-11,AUR-2303,PRD-FRZ-01,-25,-15,120,2026-07-25T06:45:00Z,2026-07-25T08:45:00Z
LEG-0002,SHP-0001,TRK-12,AUR-2301,PRD-FRZ-01,-25,-15,120,2026-07-25T11:45:00Z,2026-07-25T14:45:00Z
LEG-0002,SHP-0001,TRK-12,AUR-2302,PRD-FRZ-01,-25,-15,120,2026-07-25T11:45:00Z,2026-07-25T14:45:00Z
LEG-0002,SHP-0001,TRK-12,AUR-2303,PRD-FRZ-01,-25,-15,120,2026-07-25T11:45:00Z,2026-07-25T14:45:00Z
LEG-0003,SHP-0002,TRK-08,AUR-2207,PRD-INS-01,2,8,120,2026-07-25T04:30:00Z,2026-07-25T06:30:00Z
LEG-0004,SHP-0002,TRK-10,AUR-2207,PRD-INS-01,2,8,120,2026-07-25T08:30:00Z,2026-07-25T11:30:00Z
LEG-0005,SHP-0003,TRK-08,AUR-2305,PRD-INS-02,2,8,120,2026-07-25T09:30:00Z,2026-07-25T18:30:00Z
LEG-0005,SHP-0003,TRK-08,AUR-2306,PRD-VAX-02,2,8,120,2026-07-25T09:30:00Z,2026-07-25T18:30:00Z
LEG-0006,SHP-0003,TRK-09,AUR-2305,PRD-INS-02,2,8,120,2026-07-25T22:30:00Z,2026-07-26T01:30:00Z
LEG-0006,SHP-0003,TRK-09,AUR-2306,PRD-VAX-02,2,8,120,2026-07-25T22:30:00Z,2026-07-26T01:30:00Z
LEG-0007,SHP-0004,TRK-06,AUR-2211,PRD-VAX-01,2,8,120,2026-07-25T09:00:00Z,2026-07-25T11:00:00Z
LEG-0007,SHP-0004,TRK-06,AUR-2308,PRD-VAX-01,2,8,120,2026-07-25T09:00:00Z,2026-07-25T11:00:00Z
LEG-0008,SHP-0004,TRK-07,AUR-2211,PRD-VAX-01,2,8,120,2026-07-25T13:00:00Z,2026-07-25T22:00:00Z
LEG-0008,SHP-0004,TRK-07,AUR-2308,PRD-VAX-01,2,8,120,2026-07-25T13:00:00Z,2026-07-25T22:00:00Z
LEG-0009,SHP-0004,TRK-08,AUR-2211,PRD-VAX-01,2,8,120,2026-07-26T00:00:00Z,2026-07-26T03:00:00Z
LEG-0009,SHP-0004,TRK-08,AUR-2308,PRD-VAX-01,2,8,120,2026-07-26T00:00:00Z,2026-07-26T03:00:00Z
LEG-0010,SHP-0005,TRK-02,AUR-2309,PRD-VAX-04,2,8,120,2026-07-26T06:45:00Z,2026-07-26T12:45:00Z
LEG-0010,SHP-0005,TRK-02,AUR-2310,PRD-VAX-02,2,8,120,2026-07-26T06:45:00Z,2026-07-26T12:45:00Z
LEG-0011,SHP-0005,TRK-06,AUR-2309,PRD-VAX-04,2,8,120,2026-07-26T15:45:00Z,2026-07-26T18:45:00Z
LEG-0011,SHP-0005,TRK-06,AUR-2310,PRD-VAX-02,2,8,120,2026-07-26T15:45:00Z,2026-07-26T18:45:00Z
LEG-0012,SHP-0006,TRK-08,AUR-2311,PRD-VAX-01,2,8,120,2026-07-26T07:30:00Z,2026-07-26T09:30:00Z
LEG-0012,SHP-0006,TRK-08,AUR-2312,PRD-INS-01,2,8,120,2026-07-26T07:30:00Z,2026-07-26T09:30:00Z
LEG-0012,SHP-0006,TRK-08,AUR-2313,PRD-INS-02,2,8,120,2026-07-26T07:30:00Z,2026-07-26T09:30:00Z
LEG-0013,SHP-0006,TRK-10,AUR-2311,PRD-VAX-01,2,8,120,2026-07-26T13:30:00Z,2026-07-26T16:30:00Z
LEG-0013,SHP-0006,TRK-10,AUR-2312,PRD-INS-01,2,8,120,2026-07-26T13:30:00Z,2026-07-26T16:30:00Z
LEG-0013,SHP-0006,TRK-10,AUR-2313,PRD-INS-02,2,8,120,2026-07-26T13:30:00Z,2026-07-26T16:30:00Z
LEG-0014,SHP-0007,TRK-11,AUR-2314,PRD-FRZ-01,-25,-15,120,2026-07-26T06:15:00Z,2026-07-26T08:15:00Z
LEG-0015,SHP-0007,TRK-12,AUR-2314,PRD-FRZ-01,-25,-15,120,2026-07-26T12:15:00Z,2026-07-26T18:15:00Z
LEG-0016,SHP-0007,TRK-11,AUR-2314,PRD-FRZ-01,-25,-15,120,2026-07-26T20:15:00Z,2026-07-26T22:15:00Z
LEG-0017,SHP-0008,TRK-09,AUR-2315,PRD-VAX-03,2,8,180,2026-07-27T09:30:00Z,2026-07-27T18:30:00Z
LEG-0017,SHP-0008,TRK-09,AUR-2316,PRD-BIO-01,2,8,150,2026-07-27T09:30:00Z,2026-07-27T18:30:00Z
LEG-0018,SHP-0008,TRK-01,AUR-2315,PRD-VAX-03,2,8,180,2026-07-27T22:30:00Z,2026-07-28T01:30:00Z
LEG-0018,SHP-0008,TRK-01,AUR-2316,PRD-BIO-01,2,8,150,2026-07-27T22:30:00Z,2026-07-28T01:30:00Z
LEG-0019,SHP-0009,TRK-12,AUR-2317,PRD-FRZ-01,-25,-15,120,2026-07-27T06:00:00Z,2026-07-27T08:00:00Z
LEG-0019,SHP-0009,TRK-12,AUR-2318,PRD-FRZ-01,-25,-15,120,2026-07-27T06:00:00Z,2026-07-27T08:00:00Z
LEG-0020,SHP-0009,TRK-11,AUR-2317,PRD-FRZ-01,-25,-15,120,2026-07-27T10:00:00Z,2026-07-27T22:00:00Z
LEG-0020,SHP-0009,TRK-11,AUR-2318,PRD-FRZ-01,-25,-15,120,2026-07-27T10:00:00Z,2026-07-27T22:00:00Z
LEG-0021,SHP-0009,TRK-12,AUR-2317,PRD-FRZ-01,-25,-15,120,2026-07-28T02:00:00Z,2026-07-28T05:00:00Z
LEG-0021,SHP-0009,TRK-12,AUR-2318,PRD-FRZ-01,-25,-15,120,2026-07-28T02:00:00Z,2026-07-28T05:00:00Z
LEG-0022,SHP-0010,TRK-09,AUR-2319,PRD-VAX-03,2,8,180,2026-07-28T06:30:00Z,2026-07-28T08:30:00Z
LEG-0022,SHP-0010,TRK-09,AUR-2320,PRD-INS-01,2,8,120,2026-07-28T06:30:00Z,2026-07-28T08:30:00Z
LEG-0023,SHP-0010,TRK-10,AUR-2319,PRD-VAX-03,2,8,180,2026-07-28T10:30:00Z,2026-07-28T13:30:00Z
LEG-0023,SHP-0010,TRK-10,AUR-2320,PRD-INS-01,2,8,120,2026-07-28T10:30:00Z,2026-07-28T13:30:00Z
LEG-0024,SHP-0011,TRK-11,AUR-2321,PRD-FRZ-01,-25,-15,120,2026-07-28T09:30:00Z,2026-07-28T21:30:00Z
LEG-0024,SHP-0011,TRK-11,AUR-2322,PRD-FRZ-01,-25,-15,120,2026-07-28T09:30:00Z,2026-07-28T21:30:00Z
LEG-0024,SHP-0011,TRK-11,AUR-2323,PRD-FRZ-01,-25,-15,120,2026-07-28T09:30:00Z,2026-07-28T21:30:00Z
LEG-0025,SHP-0011,TRK-12,AUR-2321,PRD-FRZ-01,-25,-15,120,2026-07-29T00:30:00Z,2026-07-29T03:30:00Z
LEG-0025,SHP-0011,TRK-12,AUR-2322,PRD-FRZ-01,-25,-15,120,2026-07-29T00:30:00Z,2026-07-29T03:30:00Z
LEG-0025,SHP-0011,TRK-12,AUR-2323,PRD-FRZ-01,-25,-15,120,2026-07-29T00:30:00Z,2026-07-29T03:30:00Z
LEG-0026,SHP-0012,TRK-10,AUR-2324,PRD-VAX-01,2,8,120,2026-07-29T08:30:00Z,2026-07-29T20:30:00Z
LEG-0027,SHP-0012,TRK-01,AUR-2324,PRD-VAX-01,2,8,120,2026-07-29T23:30:00Z,2026-07-30T02:30:00Z
LEG-0028,SHP-0013,TRK-07,AUR-2325,PRD-INS-01,2,8,120,2026-07-29T08:00:00Z,2026-07-29T17:00:00Z
LEG-0028,SHP-0013,TRK-07,AUR-2326,PRD-BIO-01,2,8,150,2026-07-29T08:00:00Z,2026-07-29T17:00:00Z
LEG-0028,SHP-0013,TRK-07,AUR-2327,PRD-BIO-01,2,8,150,2026-07-29T08:00:00Z,2026-07-29T17:00:00Z
LEG-0029,SHP-0013,TRK-02,AUR-2325,PRD-INS-01,2,8,120,2026-07-29T20:00:00Z,2026-07-29T23:00:00Z
LEG-0029,SHP-0013,TRK-02,AUR-2326,PRD-BIO-01,2,8,150,2026-07-29T20:00:00Z,2026-07-29T23:00:00Z
LEG-0029,SHP-0013,TRK-02,AUR-2327,PRD-BIO-01,2,8,150,2026-07-29T20:00:00Z,2026-07-29T23:00:00Z
