LegID,ShipmentID,TruckID,FromSiteID,ToSiteID,LegSeq,DepartUtc,ArriveUtc
LEG-0001,SHP-0001,TRK-11,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-25T06:45:00Z,2026-07-25T08:45:00Z
LEG-0002,SHP-0001,TRK-12,SITE-HYD-DP,SITE-WGL-CL,2,2026-07-25T11:45:00Z,2026-07-25T14:45:00Z
LEG-0003,SHP-0002,TRK-08,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-25T04:30:00Z,2026-07-25T06:30:00Z
LEG-0004,SHP-0002,TRK-10,SITE-HYD-DP,SITE-WGL-CL,2,2026-07-25T08:30:00Z,2026-07-25T11:30:00Z
LEG-0005,SHP-0003,TRK-08,SITE-HYD-PL,SITE-BLR-DP,1,2026-07-25T09:30:00Z,2026-07-25T18:30:00Z
LEG-0006,SHP-0003,TRK-09,SITE-BLR-DP,SITE-MYS-CL,2,2026-07-25T22:30:00Z,2026-07-26T01:30:00Z
LEG-0007,SHP-0004,TRK-06,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-25T09:00:00Z,2026-07-25T11:00:00Z
LEG-0008,SHP-0004,TRK-07,SITE-HYD-DP,SITE-BLR-DP,2,2026-07-25T13:00:00Z,2026-07-25T22:00:00Z
LEG-0009,SHP-0004,TRK-08,SITE-BLR-DP,SITE-MYS-CL,3,2026-07-26T00:00:00Z,2026-07-26T03:00:00Z
LEG-0010,SHP-0005,TRK-02,SITE-HYD-PL,SITE-VJA-DP,1,2026-07-26T06:45:00Z,2026-07-26T12:45:00Z
LEG-0011,SHP-0005,TRK-06,SITE-VJA-DP,SITE-RJY-CL,2,2026-07-26T15:45:00Z,2026-07-26T18:45:00Z
LEG-0012,SHP-0006,TRK-08,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-26T07:30:00Z,2026-07-26T09:30:00Z
LEG-0013,SHP-0006,TRK-10,SITE-HYD-DP,SITE-WGL-CL,2,2026-07-26T13:30:00Z,2026-07-26T16:30:00Z
LEG-0014,SHP-0007,TRK-11,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-26T06:15:00Z,2026-07-26T08:15:00Z
LEG-0015,SHP-0007,TRK-12,SITE-HYD-DP,SITE-VJA-DP,2,2026-07-26T12:15:00Z,2026-07-26T18:15:00Z
LEG-0016,SHP-0007,TRK-11,SITE-VJA-DP,SITE-GNT-CL,3,2026-07-26T20:15:00Z,2026-07-26T22:15:00Z
LEG-0017,SHP-0008,TRK-09,SITE-HYD-PL,SITE-BLR-DP,1,2026-07-27T09:30:00Z,2026-07-27T18:30:00Z
LEG-0018,SHP-0008,TRK-01,SITE-BLR-DP,SITE-MYS-CL,2,2026-07-27T22:30:00Z,2026-07-28T01:30:00Z
LEG-0019,SHP-0009,TRK-12,SITE-HYD-PL,SITE-HYD-DP,1,2026-07-27T06:00:00Z,2026-07-27T08:00:00Z
LEG-0020,SHP-0009,TRK-11,SITE-HYD-DP,SITE-MAA-DP,2,2026-07-27T10:00:00Z,2026-07-27T22:00:00Z
