ShipmentID,OriginSiteID,DestinationSiteID,DepartUtc,Status
SHP-0001,SITE-HYD-PL,SITE-WGL-CL,2026-07-25T06:45:00Z,Delivered
SHP-0002,SITE-HYD-PL,SITE-WGL-CL,2026-07-25T04:30:00Z,Delivered
SHP-0003,SITE-HYD-PL,SITE-MYS-CL,2026-07-25T09:30:00Z,Delivered
SHP-0004,SITE-HYD-PL,SITE-MYS-CL,2026-07-25T09:00:00Z,Delivered
SHP-0005,SITE-HYD-PL,SITE-RJY-CL,2026-07-26T06:45:00Z,Delivered
SHP-0006,SITE-HYD-PL,SITE-WGL-CL,2026-07-26T07:30:00Z,Delivered
SHP-0007,SITE-HYD-PL,SITE-GNT-CL,2026-07-26T06:15:00Z,Delivered
SHP-0008,SITE-HYD-PL,SITE-MYS-CL,2026-07-27T09:30:00Z,Delivered
SHP-0009,SITE-HYD-PL,SITE-TIR-CL,2026-07-27T06:00:00Z,Delivered
SHP-0010,SITE-HYD-PL,SITE-WGL-CL,2026-07-28T06:30:00Z,Delivered
SHP-0011,SITE-HYD-PL,SITE-TIR-CL,2026-07-28T09:30:00Z,Delivered
SHP-0012,SITE-HYD-PL,SITE-TIR-CL,2026-07-29T08:30:00Z,Delivered
SHP-0013,SITE-HYD-PL,SITE-MYS-CL,2026-07-29T08:00:00Z,Delivered
SHP-0014,SITE-HYD-PL,SITE-RJY-CL,2026-07-29T04:15:00Z,Delivered
SHP-0015,SITE-HYD-PL,SITE-RJY-CL,2026-07-29T06:15:00Z,Delivered
SHP-0016,SITE-HYD-PL,SITE-TIR-CL,2026-07-30T09:00:00Z,Delivered
SHP-0017,SITE-HYD-PL,SITE-RJY-CL,2026-07-30T06:15:00Z,Delivered
SHP-0018,SITE-HYD-PL,SITE-CBE-CL,2026-07-30T04:15:00Z,Delivered
SHP-0019,SITE-HYD-PL,SITE-CBE-CL,2026-07-30T04:45:00Z,Delivered
SHP-0020,SITE-HYD-PL,SITE-TIR-CL,2026-07-31T07:45:00Z,Delivered
SHP-0021,SITE-HYD-PL,SITE-TIR-CL,2026-07-31T09:15:00Z,Delivered
SHP-0022,SITE-HYD-PL,SITE-RJY-CL,2026-07-31T05:30:00Z,Delivered
SHP-0023,SITE-HYD-PL,SITE-MYS-CL,2026-08-01T06:15:00Z,Delivered
SHP-0024,SITE-HYD-PL,SITE-RJY-CL,2026-08-01T08:00:00Z,Delivered
SHP-0025,SITE-HYD-PL,SITE-MYS-CL,2026-08-01T04:00:00Z,Delivered
SHP-0026,SITE-HYD-PL,SITE-RJY-CL,2026-08-01T07:15:00Z,Delivered
SHP-0027,SITE-HYD-PL,SITE-GNT-CL,2026-08-02T07:30:00Z,Delivered
SHP-0028,SITE-HYD-PL,SITE-TIR-CL,2026-08-02T05:00:00Z,Delivered
SHP-0029,SITE-HYD-PL,SITE-TIR-CL,2026-08-02T05:00:00Z,Delivered
SHP-0030,SITE-HYD-PL,SITE-RJY-CL,2026-08-03T08:30:00Z,Delivered
SHP-0031,SITE-HYD-PL,SITE-CBE-CL,2026-08-03T05:45:00Z,Delivered
SHP-0032,SITE-HYD-PL,SITE-RJY-CL,2026-08-03T05:00:00Z,Delivered
SHP-LIVE,SITE-HYD-PL,SITE-GNT-CL,2026-08-03T05:30:00Z,In transit
